personne_id,auteur_persee_id,idref,auteurlabel,occupationLabel,year_of_birth,year_of_death,sex_or_genderLabel,country_of_citizenshipLabel,educated_atLabel,academic_degreeLabel
http://www.wikidata.org/entity/Q1700413,51368,029114942,John L. Heilbron,professeur d'université,1934,????,masculin,États-Unis,université de Californie à Berkeley,no value
http://www.wikidata.org/entity/Q1729607,253735,031314341,Karine Chemla,historien des mathématiques,1957,????,féminin,France,no value,no value
http://www.wikidata.org/entity/Q1729607,253735,031314341,Karine Chemla,mathématicien,1957,????,féminin,France,no value,no value
http://www.wikidata.org/entity/Q17304952,255994,028112245,Pierre Huard,anthropologue,1901,1983,masculin,France,no value,no value
http://www.wikidata.org/entity/Q17304952,255994,028112245,Pierre Huard,médecin,1901,1983,masculin,France,no value,no value
http://www.wikidata.org/entity/Q17350633,32583,026909308,Jacques Guillerme,historien de l'art,1927,1996,masculin,France,no value,no value
http://www.wikidata.org/entity/Q17350633,32583,026909308,Jacques Guillerme,historien des technologies,1927,1996,masculin,France,no value,no value
http://www.wikidata.org/entity/Q177709,247412,028822390,Hubert Curien,cristallographe,1924,2005,masculin,France,lycée Saint-Louis,no value
http://www.wikidata.org/entity/Q177709,247412,028822390,Hubert Curien,cristallographe,1924,2005,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q177709,247412,028822390,Hubert Curien,physicien,1924,2005,masculin,France,lycée Saint-Louis,no value
http://www.wikidata.org/entity/Q177709,247412,028822390,Hubert Curien,physicien,1924,2005,masculin,France,École normale supérieure,no value
http://www.wikidata.org/entity/Q1804232,76314,032821972,Pierre Humbert,historien des sciences,1891,1953,masculin,France,École polytechnique,no value
http://www.wikidata.org/entity/Q1804232,76314,032821972,Pierre Humbert,mathématicien,1891,1953,masculin,France,École polytechnique,no value
http://www.wikidata.org/entity/Q18115561,246829,029441331,Henry Michel,no value,1857,1904,masculin,no value,no value,no value
http://www.wikidata.org/entity/Q18221610,11242,033521557,Antonio Clericuzio,Q53554997,1958,????,masculin,Italie,no value,no value
http://www.wikidata.org/entity/Q18221610,11242,033521557,Antonio Clericuzio,professeur d'université,1958,????,masculin,Italie,no value,no value
http://www.wikidata.org/entity/Q18222367,212198,05652207X,Didier Kahn,Q53554997,2000,????,masculin,France,no value,no value
http://www.wikidata.org/entity/Q18397569,76842,151230404,A. Natucci,mathématicien,1883,1975,masculin,Italie,no value,no value
http://www.wikidata.org/entity/Q18397569,76842,151230404,A. Natucci,mathématicien,1883,1975,masculin,royaume d'Italie,no value,no value
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,enseignant,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,historien,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,logicien,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,mathématicien,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,philosophe,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,philosophe de l'esthétique,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,philosophe des sciences,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
http://www.wikidata.org/entity/Q184735,79762,028434307,Bernard Bolzano,professeur,no value,????,masculin,Royaume de Bohême,université Charles de Prague,Philosophiæ doctor
