auteur_persee_id,auteurlabel
385530,Geneviève Artigas-Menant
386272,François Azouvi
386286,Patrice Bret
386810,Jacques Proust
387800,Claudine Poulouin
387919,Emile Callot
387929,F. Jacquot
387933,André Mongredien
387936,Harcourt Brown
387953,С. Stewart Gillmor
387955,Leticia Halperin-Donghi
387965,Serge Hutin
387966,Kurt Møller Pedersen
387967,Béatrice Borghgraef
387971,Roger Martin
387974,Denise Wrotnowska
387980,Žarko Dadić
387981,Joseph-Adolphe Melderen
387982,Albert Lejeune
387983,Walter S. Contro
388958,Georges Huard
392122,Marie José Durand-Richard
392174,Marie-José Imbault-Huart
393176,Eizo Yamazaki
393177,Alexandru Giuculescu
393269,André Guillerme
394313,Antoine Picon
396359,Ferdinand Boyer
417632,André Avramesco
419243,Alain Niderst
659096,Shlomo Pines
685241,Michel Cotte
