personne_id,auteur_persee_id,idref,auteurlabel,year_of_birth,year_of_death,sex_or_genderLabel
http://www.wikidata.org/entity/Q42318893,284407,026659263,Henri Hugonnard-Roche,1944,????,masculin
http://www.wikidata.org/entity/Q42350873,286815,026780097,Thérèse Charmasson,1950,????,féminin
http://www.wikidata.org/entity/Q42365658,36482,030827108,Ghislaine L'Huillier,no value,????,féminin
http://www.wikidata.org/entity/Q4259300,243889,032097069,Jean-François Leroy,1915,1999,masculin
http://www.wikidata.org/entity/Q433741,168073,026765217,Georges Canguilhem,1904,1995,masculin
http://www.wikidata.org/entity/Q4386752,57353,082754071,Yakov M. Rabkin,1945,????,masculin
http://www.wikidata.org/entity/Q43958692,220817,028307801,Bruno Belhoste,1952,????,masculin
http://www.wikidata.org/entity/Q44272,204018,026870290,Michel Foucault,1926,1984,masculin
http://www.wikidata.org/entity/Q46641790,10498,050729616,Jean Eisenstaedt,1940,????,masculin
http://www.wikidata.org/entity/Q472206,364680,02718160X,Jean-Pierre Vernant,1914,2007,masculin
http://www.wikidata.org/entity/Q47402082,285534,no value,Stéphane Le Gars,1998,????,masculin
http://www.wikidata.org/entity/Q4775527,394313,028982355,Antoine Picon,1957,????,masculin
http://www.wikidata.org/entity/Q481484,6718,026773317,André de Cailleux,1907,1986,masculin
http://www.wikidata.org/entity/Q48758594,150991,02706042X,Michel Paty,1938,????,masculin
http://www.wikidata.org/entity/Q48926800,169439,026890224,Luce Giard,1950,????,féminin
http://www.wikidata.org/entity/Q48927545,157841,026826968,Dominique Descotes,1948,????,masculin
http://www.wikidata.org/entity/Q49162565,171961,026908204,Jacques Guilhaumou,1948,????,masculin
http://www.wikidata.org/entity/Q50261638,9520,06106632X,Jacqueline Filliozat,1942,????,féminin
http://www.wikidata.org/entity/Q51391017,55245,no value,Jean Louis Gardies,1925,2004,masculin
http://www.wikidata.org/entity/Q518207,30679,026691817,Jean-Paul Aron,1925,1988,masculin
http://www.wikidata.org/entity/Q52157760,82775,028751051,Jean-Paul Deleage,1950,????,masculin
http://www.wikidata.org/entity/Q52158640,57332,03439754X,Roger Hahn,1932,2011,masculin
http://www.wikidata.org/entity/Q52283652,82818,032057555,Anne-Marie Drouin-Hans,1947,????,féminin
http://www.wikidata.org/entity/Q52425704,246691,026712385,Jean Beaujeu,1916,1995,masculin
http://www.wikidata.org/entity/Q527522,233628,027039641,Serge Moscovici,1925,2014,masculin
http://www.wikidata.org/entity/Q527805,57317,028910265,Marie Boas Hall,1919,2009,féminin
http://www.wikidata.org/entity/Q527805,76993,028910265,Marie Boas,1919,2009,féminin
http://www.wikidata.org/entity/Q532542,269040,026773171,Maurice Caveing,1923,2019,masculin
http://www.wikidata.org/entity/Q53570363,63572,no value,Jean Boissel,1920,2000,masculin
http://www.wikidata.org/entity/Q54156064,63741,026933748,Jean Jacquot,1909,1983,masculin
http://www.wikidata.org/entity/Q5496926,79870,no value,D. A. Wittop-Koning,1911,2001,masculin
http://www.wikidata.org/entity/Q55231130,55163,032608349,Pierre Ickowicz,1963,????,masculin
http://www.wikidata.org/entity/Q55231173,54612,083685979,Xavier Sabatier,1975,????,masculin
http://www.wikidata.org/entity/Q55455437,181008,029722284,Charles Bedel,1889,1967,masculin
http://www.wikidata.org/entity/Q55584894,76420,069235651,Charles Brunold,1893,1984,masculin
http://www.wikidata.org/entity/Q55594188,276548,032035845,Jean Cousin,1902,1981,masculin
http://www.wikidata.org/entity/Q55594287,76402,no value,Henri Daudin,1881,1947,masculin
http://www.wikidata.org/entity/Q55619842,220082,026928035,Nicole Hulin,1935,????,féminin
http://www.wikidata.org/entity/Q55620312,364417,026696541,Germaine Aujac,1923,????,féminin
http://www.wikidata.org/entity/Q55620339,216983,030712165,Giulia Belgioioso,1947,????,féminin
http://www.wikidata.org/entity/Q55620535,54848,057450781,Christiane Vilain,1945,????,féminin
http://www.wikidata.org/entity/Q55620645,223112,031538355,Roselyne Rey,1951,1995,féminin
http://www.wikidata.org/entity/Q55620807,10460,034008381,Gianfranco Mormino,1962,????,masculin
http://www.wikidata.org/entity/Q55620812,11259,033736421,Marco Beretta,1962,????,masculin
http://www.wikidata.org/entity/Q55621829,223023,034294929,Danielle Fauque,1947,????,féminin
http://www.wikidata.org/entity/Q55622286,82816,091568811,Filipe Drapeau Contim,1971,????,masculin
http://www.wikidata.org/entity/Q55622780,76315,061056553,Léon Auger,no value,????,masculin
http://www.wikidata.org/entity/Q55623410,276734,027040429,Anne-Marie Moulin,1944,????,féminin
http://www.wikidata.org/entity/Q55623794,11232,031102514,Eugenio Canone,1954,????,masculin
http://www.wikidata.org/entity/Q55623903,57424,027156834,Eva Telkes,1947,????,féminin
http://www.wikidata.org/entity/Q55623993,150966,077185064,Olivier Perru,1959,????,masculin
http://www.wikidata.org/entity/Q55624906,139669,02688061X,François De Gandt,1947,????,masculin
http://www.wikidata.org/entity/Q55625904,171161,029885949,Anastasios Brenner,1959,????,masculin
http://www.wikidata.org/entity/Q55626113,283427,02895517X,Guy Picolet,1948,????,no value
http://www.wikidata.org/entity/Q55626332,235370,026935554,Khalil Jaouiche,1925,2002,masculin
http://www.wikidata.org/entity/Q55626930,10500,070287759,Stéphane Schmitt,1972,????,masculin
http://www.wikidata.org/entity/Q55626960,393269,026909294,André Guillerme,1945,????,masculin
http://www.wikidata.org/entity/Q55627471,286647,02881116X,Robert Locqueneux,1937,????,masculin
http://www.wikidata.org/entity/Q55627631,144533,029530105,Gérard Emptoz,1939,????,masculin
http://www.wikidata.org/entity/Q55628134,57275,026935600,Roger Jaquel,1907,????,masculin
http://www.wikidata.org/entity/Q55628318,30069,02689467X,Henri Goblot,1896,1988,no value
http://www.wikidata.org/entity/Q55628910,54976,06693933X,Lydie Touret,1947,????,féminin
http://www.wikidata.org/entity/Q55628974,54637,06701304X,Charles Chihara,1932,2020,masculin
http://www.wikidata.org/entity/Q55628987,364340,02973018X,Françoise Parot,1947,????,féminin
http://www.wikidata.org/entity/Q55629385,277853,026969912,Jacques Lautman,1934,????,masculin
http://www.wikidata.org/entity/Q55692454,350738,no value,Charles Mugler,1869,1948,masculin
http://www.wikidata.org/entity/Q55713362,76972,078793424,Hélène Konczewska,no value,????,féminin
http://www.wikidata.org/entity/Q55770588,142777,no value,Paul Eymard,no value,????,masculin
http://www.wikidata.org/entity/Q55770594,144473,160863406,Adrienne R. Weill,1903,1979,féminin
http://www.wikidata.org/entity/Q55770597,76966,03524447X,Pierre Speziali,1913,1995,masculin
http://www.wikidata.org/entity/Q55770673,76303,136297927,Suzanne Delorme,1913,2005,féminin
http://www.wikidata.org/entity/Q55771596,76538,028410319,Gérard Vassails,1910,1994,no value
http://www.wikidata.org/entity/Q55771665,392174,026930366,Marie-José Imbault-Huart,1928,2011,féminin
http://www.wikidata.org/entity/Q55771862,195502,029595533,Marcel Destombes,1905,1983,masculin
http://www.wikidata.org/entity/Q55772131,76610,084593288,Louis Chauvois,1881,1972,masculin
http://www.wikidata.org/entity/Q55772294,10470,026755211,Paul Brouzeng,1938,2012,masculin
http://www.wikidata.org/entity/Q55772645,265562,026743574,Jean Boulaine,1922,2012,masculin
http://www.wikidata.org/entity/Q55773094,57356,056523297,Yvette Conry,1930,1992,féminin
